"work_sector","endemic_status","n"
"National policy making/government","Endemic",20
"National policy making/government","Free",5
"National policy making/government","In-progress",2
"Academia/research","Endemic",14
"Academia/research","In-progress",2
"International organization","Endemic",14
"International organization","In-progress",2
"Animal health frontline","Endemic",8
"Animal health frontline","Free",2
"Animal health frontline","In-progress",3
"Civil society/NGO","Endemic",1
"Civil society/NGO","In-progress",2
"Vaccine industry/logistics","Endemic",2
"Vaccine industry/logistics","In-progress",1
"Human health frontline","Endemic",2
"Laboratory","Endemic",1
"Laboratory","Free",1
