"endemic_status","grouped_response","n"
"Endemic","Vaccine shortages",23
"In-progress","Vaccine shortages",2
"Endemic","Staff absences",9
"Free","Staff absences",1
"In-progress","Staff absences",4
"Endemic","Clinics closed",9
"Free","Clinics closed",1
"In-progress","Clinics closed",3
"Endemic","Staff redeployment",8
"Free","Staff redeployment",1
"In-progress","Staff redeployment",4
"Endemic","Vaccines only in private sector",11
"In-progress","Vaccines only in private sector",1
"Endemic","Follow up visits delayed/cancelled",7
"In-progress","Follow up visits delayed/cancelled",2
"Endemic","Staff stress",6
"In-progress","Staff stress",1
