"endemic_status","grouped_response","n"
"Endemic","Movement restrictions",18
"Free","Movement restrictions",2
"In-progress","Movement restrictions",5
"Endemic","Staff shortages",17
"Free","Staff shortages",1
"In-progress","Staff shortages",4
"Endemic","No budget",17
"In-progress","No budget",2
"Endemic","COVID-19 safety",11
"In-progress","COVID-19 safety",5
"Endemic","No consumables/equipment",12
"Free","No consumables/equipment",1
"In-progress","No consumables/equipment",3
"Endemic","Investigators not welcome",6
"In-progress","Investigators not welcome",1
"Endemic","Other",4
"In-progress","Other",1
