"endemic_status","question","n"
"Endemic","More cruelty",10
"In-progress","More cruelty",1
"Endemic","More attacks on people",9
"In-progress","More attacks on people",1
"Endemic","More animal rabies",7
"In-progress","More animal rabies",2
"Endemic","More attacks on livestock",7
"In-progress","More attacks on livestock",1
"Endemic","More care",5
"In-progress","More care",2
"Endemic","More attacks on dogs",3
"In-progress","More attacks on dogs",1
"Endemic","More human exposures/deaths",3
"In-progress","More human exposures/deaths",1
